QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
922,Sort Array By Parity II,sort-array-by-parity-ii,Easy,70.85238211,False,"array,two-pointers,sorting",algorithms
2315,Count Asterisks,count-asterisks,Easy,82.4170959,False,string,algorithms
925,Long Pressed Name,long-pressed-name,Easy,32.31169954,False,"two-pointers,string",algorithms
2309,Greatest English Letter in Upper and Lower Case,greatest-english-letter-in-upper-and-lower-case,Easy,70.30427114,False,"hash-table,string,enumeration",algorithms
929,Unique Email Addresses,unique-email-addresses,Easy,67.30349571,False,"array,hash-table,string",algorithms
2303,Calculate Amount Paid in Taxes,calculate-amount-paid-in-taxes,Easy,66.03553408,False,"array,simulation",algorithms
2335,Minimum Amount of Time to Fill Cups,minimum-amount-of-time-to-fill-cups,Easy,58.06814884,False,"array,greedy,sorting,heap-priority-queue",algorithms
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,Easy,67.81398181,False,"hash-table,string,counting",algorithms
883,Projection Area of 3D Shapes,projection-area-of-3d-shapes,Easy,73.19785563,False,"array,math,geometry,matrix",algorithms
2373,Largest Local Values in a Matrix,largest-local-values-in-a-matrix,Easy,87.91067573,False,"array,matrix",algorithms
824,Goat Latin,goat-latin,Easy,68.4996384,False,string,algorithms
2441,Largest Positive Integer That Exists With Its Negative,largest-positive-integer-that-exists-with-its-negative,Easy,75.06744826,False,"array,hash-table,two-pointers,sorting",algorithms
830,Positions of Large Groups,positions-of-large-groups,Easy,52.49683827,False,string,algorithms
2437,Number of Valid Clock Times,number-of-valid-clock-times,Easy,46.99570815,False,"string,enumeration",algorithms
832,Flipping an Image,flipping-an-image,Easy,82.35707872,False,"array,two-pointers,bit-manipulation,matrix,simulation",algorithms
2432,The Employee That Worked on the Longest Task,the-employee-that-worked-on-the-longest-task,Easy,50.4577681,False,array,algorithms
836,Rectangle Overlap,rectangle-overlap,Easy,45.07700893,False,"math,geometry",algorithms
2427,Number of Common Factors,number-of-common-factors,Easy,79.17786879,False,"math,enumeration,number-theory",algorithms
2423,Remove Letter To Equalize Frequency,remove-letter-to-equalize-frequency,Easy,17.45856622,False,"hash-table,string,counting",algorithms
844,Backspace String Compare,backspace-string-compare,Easy,49.26826554,False,"two-pointers,string,stack,simulation",algorithms
2418,Sort the People,sort-the-people,Easy,84.95310709,False,"array,hash-table,string,sorting",algorithms
2413,Smallest Even Multiple,smallest-even-multiple,Easy,87.90331983,False,"math,number-theory",algorithms
2409,Count Days Spent Together,count-days-spent-together,Easy,45.40159004,False,"math,string",algorithms
2404,Most Frequent Even Element,most-frequent-even-element,Easy,50.81637968,False,"array,hash-table,counting",algorithms
2399,Check Distances Between Same Letters,check-distances-between-same-letters,Easy,70.83875073,False,"array,hash-table,string",algorithms
859,Buddy Strings,buddy-strings,Easy,33.21117473,False,"hash-table,string",algorithms
860,Lemonade Change,lemonade-change,Easy,58.31310814,False,"array,greedy",algorithms
2395,Find Subarrays With Equal Sum,find-subarrays-with-equal-sum,Easy,65.37826028,False,"array,hash-table",algorithms
2389,Longest Subsequence With Limited Sum,longest-subsequence-with-limited-sum,Easy,72.01835141,False,"array,binary-search,greedy,sorting,prefix-sum",algorithms
867,Transpose Matrix,transpose-matrix,Easy,72.45791395,False,"array,matrix,simulation",algorithms
868,Binary Gap,binary-gap,Easy,63.91053552,False,bit-manipulation,algorithms
2383,Minimum Hours of Training to Win a Competition,minimum-hours-of-training-to-win-a-competition,Easy,41.4197225,False,"array,greedy",algorithms
872,Leaf-Similar Trees,leaf-similar-trees,Easy,70.05791374,False,"tree,depth-first-search,binary-tree",algorithms
2379,Minimum Recolors to Get K Consecutive Black Blocks,minimum-recolors-to-get-k-consecutive-black-blocks,Easy,59.30653929,False,"string,sliding-window",algorithms
876,Middle of the Linked List,middle-of-the-linked-list,Easy,79.2805714,False,"linked-list,two-pointers",algorithms
933,Number of Recent Calls,number-of-recent-calls,Easy,76.19626537,False,"design,queue,data-stream",algorithms
2446,Determine if Two Events Have Conflict,determine-if-two-events-have-conflict,Easy,51.23790537,False,"array,string",algorithms
2299,Strong Password Checker II,strong-password-checker-ii,Easy,54.92698231,False,string,algorithms
2293,Min Max Game,min-max-game,Easy,63.34567024,False,"array,simulation",algorithms
2210,Count Hills and Valleys in an Array,count-hills-and-valleys-in-an-array,Easy,61.21439437,False,array,algorithms
1002,Find Common Characters,find-common-characters,Easy,74.60269676,False,"array,hash-table,string",algorithms
1005,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,Easy,51.45160863,False,"array,greedy,sorting",algorithms
2206,Divide Array Into Equal Pairs,divide-array-into-equal-pairs,Easy,73.81121423,False,"array,hash-table,bit-manipulation,counting",algorithms
1009,Complement of Base 10 Integer,complement-of-base-10-integer,Easy,60.76326133,False,bit-manipulation,algorithms
2200,Find All K-Distant Indices in an Array,find-all-k-distant-indices-in-an-array,Easy,66.21653939,False,"array,two-pointers",algorithms
1013,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,Easy,42.04301533,False,"array,greedy",algorithms
2194,Cells in a Range on an Excel Sheet,cells-in-a-range-on-an-excel-sheet,Easy,84.18910777,False,string,algorithms
2190,Most Frequent Number Following Key In an Array,most-frequent-number-following-key-in-an-array,Easy,59.14423106,False,"array,hash-table,counting",algorithms
1018,Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,Easy,46.82264261,False,"array,bit-manipulation",algorithms
1021,Remove Outermost Parentheses,remove-outermost-parentheses,Easy,83.83346697,False,"string,stack",algorithms
999,Available Captures for Rook,available-captures-for-rook,Easy,69.48537134,False,"array,matrix,simulation",algorithms
1022,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,Easy,73.16375476,False,"tree,depth-first-search,binary-tree",algorithms
1025,Divisor Game,divisor-game,Easy,69.22733038,False,"math,dynamic-programming,brainteaser,game-theory",algorithms
2180,Count Integers With Even Digit Sum,count-integers-with-even-digit-sum,Easy,67.5415296,False,"math,simulation",algorithms
1030,Matrix Cells in Distance Order,matrix-cells-in-distance-order,Easy,71.68783403,False,"array,math,geometry,sorting,matrix",algorithms
2176,Count Equal and Divisible Pairs in an Array,count-equal-and-divisible-pairs-in-an-array,Easy,79.67177371,False,array,algorithms
2169,Count Operations to Obtain Zero,count-operations-to-obtain-zero,Easy,74.56014944,False,"math,simulation",algorithms
1037,Valid Boomerang,valid-boomerang,Easy,37.25794733,False,"array,math,geometry",algorithms
2164,Sort Even and Odd Indices Independently,sort-even-and-odd-indices-independently,Easy,62.57510322,False,"array,sorting",algorithms
2160,Minimum Sum of Four Digit Number After Splitting Digits,minimum-sum-of-four-digit-number-after-splitting-digits,Easy,86.27591586,False,"math,greedy,sorting",algorithms
2154,Keep Multiplying Found Values by Two,keep-multiplying-found-values-by-two,Easy,71.38039891,False,"array,hash-table,sorting,simulation",algorithms
1046,Last Stone Weight,last-stone-weight,Easy,65.59915351,False,"array,heap-priority-queue",algorithms
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,Easy,70.05864874,False,"string,stack",algorithms
2185,Counting Words With a Given Prefix,counting-words-with-a-given-prefix,Easy,78.32991291,False,"array,string,string-matching",algorithms
997,Find the Town Judge,find-the-town-judge,Easy,49.75354042,False,"array,hash-table,graph",algorithms
2215,Find the Difference of Two Arrays,find-the-difference-of-two-arrays,Easy,79.4574131,False,"array,hash-table",algorithms
993,Cousins in Binary Tree,cousins-in-binary-tree,Easy,56.67039851,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
941,Valid Mountain Array,valid-mountain-array,Easy,33.56239911,False,array,algorithms
942,DI String Match,di-string-match,Easy,79.20398826,False,"array,two-pointers,string,greedy",algorithms
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,Easy,74.66601699,False,"array,string",algorithms
2287,Rearrange Characters to Make Target String,rearrange-characters-to-make-target-string,Easy,59.42888982,False,"hash-table,string,counting",algorithms
2283,Check if Number Has Equal Digit Count and Digit Value,check-if-number-has-equal-digit-count-and-digit-value,Easy,72.47081367,False,"hash-table,string,counting",algorithms
2278,Percentage of Letter in String,percentage-of-letter-in-string,Easy,74.13301775,False,string,algorithms
953,Verifying an Alien Dictionary,verifying-an-alien-dictionary,Easy,55.19550641,False,"array,hash-table,string",algorithms
2273,Find Resultant Array After Removing Anagrams,find-resultant-array-after-removing-anagrams,Easy,58.51210196,False,"array,hash-table,string,sorting",algorithms
2269,Find the K-Beauty of a Number,find-the-k-beauty-of-a-number,Easy,60.40791557,False,"math,string,sliding-window",algorithms
961,N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,Easy,76.99245804,False,"array,hash-table",algorithms
2264,Largest 3-Same-Digit Number in String,largest-3-same-digit-number-in-string,Easy,69.04097471,False,string,algorithms
965,Univalued Binary Tree,univalued-binary-tree,Easy,71.33324647,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
2259,Remove Digit From Number to Maximize Result,remove-digit-from-number-to-maximize-result,Easy,45.94621759,False,"string,greedy,enumeration",algorithms
2255,Count Prefixes of a Given String,count-prefixes-of-a-given-string,Easy,72.76007882,False,"array,string",algorithms
2248,Intersection of Multiple Arrays,intersection-of-multiple-arrays,Easy,68.329718,False,"array,hash-table,sorting,counting",algorithms
2243,Calculate Digit Sum of a String,calculate-digit-sum-of-a-string,Easy,66.35764977,False,"string,simulation",algorithms
976,Largest Perimeter Triangle,largest-perimeter-triangle,Easy,56.37488279,False,"array,math,greedy,sorting",algorithms
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,72.95707508,False,"array,two-pointers,sorting",algorithms
2239,Find Closest Number to Zero,find-closest-number-to-zero,Easy,46.2512894,False,array,algorithms
2236,Root Equals Sum of Children,root-equals-sum-of-children,Easy,84.68073754,False,"tree,binary-tree",algorithms
2235,Add Two Integers,add-two-integers,Easy,87.97889457,False,math,algorithms
2231,Largest Number After Digit Swaps by Parity,largest-number-after-digit-swaps-by-parity,Easy,62.14160171,False,"sorting,heap-priority-queue",algorithms
2224,Minimum Number of Operations to Convert Time,minimum-number-of-operations-to-convert-time,Easy,65.35318199,False,"string,greedy",algorithms
989,Add to Array-Form of Integer,add-to-array-form-of-integer,Easy,45.10830403,False,"array,math",algorithms
2220,Minimum Bit Flips to Convert Number,minimum-bit-flips-to-convert-number,Easy,87.49838887,False,bit-manipulation,algorithms
938,Range Sum of BST,range-sum-of-bst,Easy,87.04628993,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
821,Shortest Distance to a Character,shortest-distance-to-a-character,Easy,71.78495484,False,"array,two-pointers,string",algorithms
2451,Odd String Difference,odd-string-difference,Easy,59.54091433,False,"array,hash-table,string",algorithms
819,Most Common Word,most-common-word,Easy,44.34182627,False,"array,hash-table,string,counting",algorithms
2644,Find the Maximum Divisibility Score,find-the-maximum-divisibility-score,Easy,49.62085959,False,array,algorithms
2643,Row With Maximum Ones,row-with-maximum-ones,Easy,75.38979767,False,"array,matrix",algorithms
2639,Find the Width of Columns of a Grid,find-the-width-of-columns-of-a-grid,Easy,67.9167355,False,"array,matrix",algorithms
627,Swap Salary,swap-salary,Easy,83.47453815,False,database,database
628,Maximum Product of Three Numbers,maximum-product-of-three-numbers,Easy,45.18193729,False,"array,math,sorting",algorithms
2635,Apply Transform Over Each Element in Array,apply-transform-over-each-element-in-array,Easy,85.84593924,False,,
2634,Filter Elements from Array,filter-elements-from-array,Easy,84.85384395,False,,
2629,Function Composition,function-composition,Easy,86.37000006,False,,
637,Average of Levels in Binary Tree,average-of-levels-in-binary-tree,Easy,73.18874709,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
2626,Array Reduce Transformation,array-reduce-transformation,Easy,84.84747714,False,,
643,Maximum Average Subarray I,maximum-average-subarray-i,Easy,43.84148438,False,"array,sliding-window",algorithms
620,Not Boring Movies,not-boring-movies,Easy,74.22215216,False,database,database
645,Set Mismatch,set-mismatch,Easy,44.56533904,False,"array,hash-table,bit-manipulation,sorting",algorithms
2620,Counter,counter,Easy,81.34829017,False,,
2619,Array Prototype Last,array-prototype-last,Easy,73.6506535,False,,
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,Easy,61.55630042,False,"hash-table,two-pointers,tree,depth-first-search,breadth-first-search,binary-search-tree,binary-tree",algorithms
657,Robot Return to Origin,robot-return-to-origin,Easy,75.91257816,False,"string,simulation",algorithms
2614,Prime In Diagonal,prime-in-diagonal,Easy,34.33320965,False,"array,math,matrix,number-theory",algorithms
661,Image Smoother,image-smoother,Easy,67.56235113,False,"array,matrix",algorithms
2609,Find the Longest Balanced Substring of a Binary String,find-the-longest-balanced-substring-of-a-binary-string,Easy,46.58740771,False,string,algorithms
2605,Form Smallest Number From Two Digit Arrays,form-smallest-number-from-two-digit-arrays,Easy,54.35721776,False,"array,hash-table,enumeration",algorithms
671,Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,Easy,44.74927183,False,"tree,depth-first-search,binary-tree",algorithms
2600,K Items With the Maximum Sum,k-items-with-the-maximum-sum,Easy,61.97344457,False,"math,greedy",algorithms
674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Easy,50.51305715,False,array,algorithms
2621,Sleep,sleep,Easy,87.08372681,False,,
619,Biggest Single Number,biggest-single-number,Easy,65.95170495,False,database,database
617,Merge Two Binary Trees,merge-two-binary-trees,Easy,79.1021462,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
610,Triangle Judgement,triangle-judgement,Easy,72.38328264,False,database,database
563,Binary Tree Tilt,binary-tree-tilt,Easy,62.5581909,False,"tree,depth-first-search,binary-tree",algorithms
566,Reshape the Matrix,reshape-the-matrix,Easy,63.3309122,False,"array,matrix,simulation",algorithms
2670,Find the Distinct Difference Array,find-the-distinct-difference-array,Easy,77.97130749,False,"array,hash-table",algorithms
2667,Create Hello World Function,create-hello-world-function,Easy,81.44707987,False,,
572,Subtree of Another Tree,subtree-of-another-tree,Easy,48.62931135,False,"tree,depth-first-search,string-matching,binary-tree,hash-function",algorithms
575,Distribute Candies,distribute-candies,Easy,68.25798106,False,"array,hash-table",algorithms
2666,Allow One Function Call,allow-one-function-call,Easy,86.35344214,False,,
577,Employee Bonus,employee-bonus,Easy,76.2474847,False,database,database
2665,Counter II,counter-ii,Easy,80.30563274,False,,
584,Find Customer Referee,find-customer-referee,Easy,70.79290277,False,database,database
586,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Easy,64.67122793,False,database,database
2660,Determine the Winner of a Bowling Game,determine-the-winner-of-a-bowling-game,Easy,34.55085246,False,"array,simulation",algorithms
589,N-ary Tree Preorder Traversal,n-ary-tree-preorder-traversal,Easy,75.78510207,False,"stack,tree,depth-first-search",algorithms
590,N-ary Tree Postorder Traversal,n-ary-tree-postorder-traversal,Easy,80.36829779,False,"stack,tree,depth-first-search",algorithms
2656,Maximum Sum With Exactly K Elements ,maximum-sum-with-exactly-k-elements,Easy,82.41037506,False,"array,greedy",algorithms
594,Longest Harmonious Subsequence,longest-harmonious-subsequence,Easy,55.30938424,False,"array,hash-table,sliding-window,sorting,counting",algorithms
595,Big Countries,big-countries,Easy,68.12003771,False,database,database
596,Classes More Than 5 Students,classes-more-than-5-students,Easy,57.14617125,False,database,database
598,Range Addition II,range-addition-ii,Easy,56.45981257,False,"array,math",algorithms
599,Minimum Index Sum of Two Lists,minimum-index-sum-of-two-lists,Easy,56.22269603,False,"array,hash-table,string",algorithms
2652,Sum Multiples,sum-multiples,Easy,85.71788171,False,math,algorithms
605,Can Place Flowers,can-place-flowers,Easy,28.92258668,False,"array,greedy",algorithms
2651,Calculate Delayed Arrival Time,calculate-delayed-arrival-time,Easy,78.47531228,False,math,algorithms
607,Sales Person,sales-person,Easy,65.76733951,False,database,database
2648,Generate Fibonacci Sequence,generate-fibonacci-sequence,Easy,83.30583597,False,,
2595,Number of Even and Odd Bits,number-of-even-and-odd-bits,Easy,73.60363214,False,bit-manipulation,algorithms
680,Valid Palindrome II,valid-palindrome-ii,Easy,41.29635878,False,"two-pointers,string,greedy",algorithms
682,Baseball Game,baseball-game,Easy,77.2292033,False,"array,stack,simulation",algorithms
2591,Distribute Money to Maximum Children,distribute-money-to-maximum-children,Easy,19.23823096,False,"math,greedy",algorithms
2535,Difference Between Element Sum and Digit Sum of an Array,difference-between-element-sum-and-digit-sum-of-an-array,Easy,84.61827049,False,"array,math",algorithms
2529,Maximum Count of Positive Integer and Negative Integer,maximum-count-of-positive-integer-and-negative-integer,Easy,71.06425505,False,"array,binary-search,counting",algorithms
762,Prime Number of Set Bits in Binary Representation,prime-number-of-set-bits-in-binary-representation,Easy,69.9784281,False,"math,bit-manipulation",algorithms
2525,Categorize Box According to Criteria,categorize-box-according-to-criteria,Easy,36.14655638,False,math,algorithms
766,Toeplitz Matrix,toeplitz-matrix,Easy,69.12831029,False,"array,matrix",algorithms
2520,Count the Digits That Divide a Number,count-the-digits-that-divide-a-number,Easy,84.93417754,False,math,algorithms
771,Jewels and Stones,jewels-and-stones,Easy,88.85767518,False,"hash-table,string",algorithms
2515,Shortest Distance to Target String in a Circular Array,shortest-distance-to-target-string-in-a-circular-array,Easy,49.66601368,False,"array,string",algorithms
2511,Maximum Enemy Forts That Can Be Captured,maximum-enemy-forts-that-can-be-captured,Easy,38.74387236,False,"array,two-pointers",algorithms
2506,Count Pairs Of Similar Strings,count-pairs-of-similar-strings,Easy,70.91968628,False,"array,hash-table,string,bit-manipulation,counting",algorithms
783,Minimum Distance Between BST Nodes,minimum-distance-between-bst-nodes,Easy,59.79773448,False,"tree,depth-first-search,breadth-first-search,binary-search-tree,binary-tree",algorithms
2500,Delete Greatest Value in Each Row,delete-greatest-value-in-each-row,Easy,78.42156743,False,"array,sorting,heap-priority-queue,matrix,simulation",algorithms
2496,Maximum Value of a String in an Array,maximum-value-of-a-string-in-an-array,Easy,72.62124002,False,"array,string",algorithms
2490,Circular Sentence,circular-sentence,Easy,62.91788723,False,string,algorithms
2485,Find the Pivot Integer,find-the-pivot-integer,Easy,83.93061932,False,"math,prefix-sum",algorithms
796,Rotate String,rotate-string,Easy,59.22737464,False,"string,string-matching",algorithms
2481,Minimum Cuts to Divide a Circle,minimum-cuts-to-divide-a-circle,Easy,53.63505981,False,"math,geometry",algorithms
2475,Number of Unequal Triplets in Array,number-of-unequal-triplets-in-array,Easy,71.75073801,False,"array,hash-table,sorting",algorithms
804,Unique Morse Code Words,unique-morse-code-words,Easy,82.97718516,False,"array,hash-table,string",algorithms
2469,Convert the Temperature,convert-the-temperature,Easy,89.76164149,False,math,algorithms
806,Number of Lines To Write String,number-of-lines-to-write-string,Easy,69.08483775,False,"array,string",algorithms
2465,Number of Distinct Averages,number-of-distinct-averages,Easy,58.26467463,False,"array,hash-table,two-pointers,sorting",algorithms
812,Largest Triangle Area,largest-triangle-area,Easy,61.12392698,False,"array,math,geometry",algorithms
2460,Apply Operations to an Array,apply-operations-to-an-array,Easy,67.95981576,False,"array,two-pointers,simulation",algorithms
2455,Average Value of Even Numbers That Are Divisible by Three,average-value-of-even-numbers-that-are-divisible-by-three,Easy,60.67209189,False,"array,math",algorithms
748,Shortest Completing Word,shortest-completing-word,Easy,60.50173412,False,"array,hash-table,string",algorithms
2148,Count Elements With Strictly Smaller and Greater Elements ,count-elements-with-strictly-smaller-and-greater-elements,Easy,59.45095125,False,"array,sorting,counting",algorithms
747,Largest Number At Least Twice of Others,largest-number-at-least-twice-of-others,Easy,49.42583148,False,"array,sorting",algorithms
744,Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,Easy,52.75772693,False,"array,binary-search",algorithms
2586,Count the Number of Vowel Strings in Range,count-the-number-of-vowel-strings-in-range,Easy,74.36952867,False,"array,string,counting",algorithms
2582,Pass the Pillow,pass-the-pillow,Easy,56.92661464,False,"math,simulation",algorithms
693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,Easy,62.8974329,False,bit-manipulation,algorithms
2578,Split With Minimum Sum,split-with-minimum-sum,Easy,71.08351632,False,"math,greedy,sorting",algorithms
696,Count Binary Substrings,count-binary-substrings,Easy,65.67230768,False,"two-pointers,string",algorithms
697,Degree of an Array,degree-of-an-array,Easy,56.75408416,False,"array,hash-table",algorithms
700,Search in a Binary Search Tree,search-in-a-binary-search-tree,Easy,80.56749269,False,"tree,binary-search-tree,binary-tree",algorithms
2574,Left and Right Sum Differences,left-and-right-sum-differences,Easy,87.0073111,False,"array,prefix-sum",algorithms
703,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,Easy,59.22280386,False,"tree,design,binary-search-tree,heap-priority-queue,binary-tree,data-stream",algorithms
704,Binary Search,binary-search,Easy,58.34513436,False,"array,binary-search",algorithms
705,Design HashSet,design-hashset,Easy,67.14432153,False,"array,hash-table,linked-list,design,hash-function",algorithms
706,Design HashMap,design-hashmap,Easy,65.59403605,False,"array,hash-table,linked-list,design,hash-function",algorithms
709,To Lower Case,to-lower-case,Easy,83.64568763,False,string,algorithms
2570,Merge Two 2D Arrays by Summing Values,merge-two-2d-arrays-by-summing-values,Easy,73.90469252,False,"array,hash-table,two-pointers",algorithms
2566,Maximum Difference by Remapping a Digit,maximum-difference-by-remapping-a-digit,Easy,60.12895175,False,"math,greedy",algorithms
717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,Easy,45.20208081,False,array,algorithms
2562,Find the Array Concatenation Value,find-the-array-concatenation-value,Easy,70.18437154,False,"array,two-pointers,simulation",algorithms
724,Find Pivot Index,find-pivot-index,Easy,58.59570207,False,"array,prefix-sum",algorithms
2558,Take Gifts From the Richest Pile,take-gifts-from-the-richest-pile,Easy,67.22110079,False,"array,heap-priority-queue,simulation",algorithms
728,Self Dividing Numbers,self-dividing-numbers,Easy,78.99721965,False,math,algorithms
2553,Separate the Digits in an Array,separate-the-digits-in-an-array,Easy,79.68871193,False,"array,simulation",algorithms
733,Flood Fill,flood-fill,Easy,64.81363268,False,"array,depth-first-search,breadth-first-search,matrix",algorithms
2549,Count Distinct Numbers on Board,count-distinct-numbers-on-board,Easy,60.60715627,False,"array,hash-table,math,simulation",algorithms
2544,Alternating Digit Sum,alternating-digit-sum,Easy,68.36004414,False,math,algorithms
2540,Minimum Common Value,minimum-common-value,Easy,58.68567443,False,"array,hash-table,two-pointers,binary-search",algorithms
746,Min Cost Climbing Stairs,min-cost-climbing-stairs,Easy,66.22499364,False,"array,dynamic-programming",algorithms
561,Array Partition,array-partition,Easy,79.31004653,False,"array,greedy,sorting,counting-sort",algorithms
1050,Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,Easy,70.23003962,False,database,database
2144,Minimum Cost of Buying Candies With Discount,minimum-cost-of-buying-candies-with-discount,Easy,61.52474209,False,"array,greedy,sorting",algorithms
1450,Number of Students Doing Homework at a Given Time,number-of-students-doing-homework-at-a-given-time,Easy,75.73324392,False,array,algorithms
1791,Find Center of Star Graph,find-center-of-star-graph,Easy,86.65292624,False,graph,algorithms
1790,Check if One String Swap Can Make Strings Equal,check-if-one-string-swap-can-make-strings-equal,Easy,45.8677338,False,"hash-table,string,counting",algorithms
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,Easy,64.50025597,False,"two-pointers,string,string-matching",algorithms
1789,Primary Department for Each Employee,primary-department-for-each-employee,Easy,65.54852937,False,database,database
1460,Make Two Arrays Equal by Reversing Subarrays,make-two-arrays-equal-by-reversing-subarrays,Easy,75.97529226,False,"array,hash-table,sorting",algorithms
1784,Check if Binary String Has at Most One Segment of Ones,check-if-binary-string-has-at-most-one-segment-of-ones,Easy,39.26722049,False,string,algorithms
1464,Maximum Product of Two Elements in an Array,maximum-product-of-two-elements-in-an-array,Easy,82.88943121,False,"array,sorting,heap-priority-queue",algorithms
1779,Find Nearest Point That Has the Same X or Y Coordinate,find-nearest-point-that-has-the-same-x-or-y-coordinate,Easy,68.79142789,False,array,algorithms
1470,Shuffle the Array,shuffle-the-array,Easy,88.62049612,False,array,algorithms
1773,Count Items Matching a Rule,count-items-matching-a-rule,Easy,84.69025066,False,"array,string",algorithms
1795,Rearrange Products Table,rearrange-products-table,Easy,85.33722714,False,database,database
1768,Merge Strings Alternately,merge-strings-alternately,Easy,80.68117102,False,"two-pointers,string",algorithms
1763,Longest Nice Substring,longest-nice-substring,Easy,60.96785082,False,"hash-table,string,divide-and-conquer,bit-manipulation,sliding-window",algorithms
1480,Running Sum of 1d Array,running-sum-of-1d-array,Easy,86.86022551,False,"array,prefix-sum",algorithms
1758,Minimum Changes To Make Alternating Binary String,minimum-changes-to-make-alternating-binary-string,Easy,63.76419594,False,string,algorithms
1484,Group Sold Products By The Date,group-sold-products-by-the-date,Easy,77.22460482,False,database,database
1486,XOR Operation in an Array,xor-operation-in-an-array,Easy,86.18608988,False,"math,bit-manipulation",algorithms
1757,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Easy,89.31260714,False,database,database
1491,Average Salary Excluding the Minimum and Maximum Salary,average-salary-excluding-the-minimum-and-maximum-salary,Easy,63.47344121,False,"array,sorting",algorithms
1752,Check if Array Is Sorted and Rotated,check-if-array-is-sorted-and-rotated,Easy,51.52902838,False,array,algorithms
1496,Path Crossing,path-crossing,Easy,62.48762353,False,"hash-table,string",algorithms
1748,Sum of Unique Elements,sum-of-unique-elements,Easy,78.18871422,False,"array,hash-table,counting",algorithms
